epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.817344605922699,0.8868699669837952,1.9053868055343628,0.7304397225379944,0.894275963306427,1.5050334930419922
1,0.8506305813789368,0.9202556610107422,0.8618070483207703,0.7768889665603638,0.9232037663459778,0.8404903411865234
2,0.868776261806488,0.9366187453269958,0.5351632833480835,0.8287694454193115,0.9064462780952454,0.5820760130882263
3,0.8801783919334412,0.9448356628417969,0.4428459405899048,0.8165208697319031,0.9148316383361816,0.6287140250205994
4,0.8879275321960449,0.9500075578689575,0.400797575712204,0.8487217426300049,0.9283407330513,0.47551342844963074
5,0.8944949507713318,0.9543716311454773,0.37162238359451294,0.8960118293762207,0.9626432657241821,0.36049118638038635
6,0.8986535668373108,0.957217812538147,0.35311585664749146,0.8431314826011658,0.9488166570663452,0.5403161644935608
7,0.9017555117607117,0.9601659178733826,0.3368735909461975,0.8640154600143433,0.9616149067878723,0.41610434651374817
8,0.9059084057807922,0.9617761373519897,0.325228214263916,0.8833768963813782,0.9635080695152283,0.37259674072265625
9,0.9076866507530212,0.9627551436424255,0.31747862696647644,0.8047494888305664,0.9650585651397705,0.5512422919273376
10,0.9101352095603943,0.9645397663116455,0.30862516164779663,0.875855028629303,0.9689248204231262,0.36391136050224304
11,0.9117714166641235,0.9651744365692139,0.30310970544815063,0.8776275515556335,0.9502285718917847,0.3947073221206665
12,0.9142256379127502,0.9665868282318115,0.29470953345298767,0.8267015218734741,0.966213583946228,0.46665090322494507
13,0.9155834317207336,0.9674119353294373,0.2893732488155365,0.799750030040741,0.956979513168335,0.5496804714202881
14,0.9164186120033264,0.9684028625488281,0.28424426913261414,0.8790364861488342,0.9624152183532715,0.3969465494155884
